id,expression,image_id,sent_id,object_name,category_id,attributes,sonnet_success,sonnet_output,sonnet_valid,sonnet_tokens,sonnet_time,sonnet_error,haiku_success,haiku_output,haiku_valid,haiku_tokens,haiku_time,haiku_error,both_successful,both_valid,outputs_identical,sonnet_faster
2387492_8691,building on the right that is brick and to the right of bare tree,2387492,8691,building,948,['brick'],True,"target(X), type(X, building), expression(hasPosition, X, right), expression(hasAttribute, X, brick), expression(rightOf, X, tree), expression(hasAttribute, tree, bare)",True,157,1.7164697647094727,,True,"target(X), type(X, building), expression(on, X, tree), expression(hasAttribute, X, brick), expression(toRightOf, X, tree)",True,146,1.2548282146453857,,True,True,False,False
2408616_13000,The hat that has the same color as the dog,2408616,13000,hat,657,"['brown', 'striped']",True,"target(X), type(X, hat), expression(hasAttribute, X, color), expression(hasAttribute, dog, color)",True,134,2.152474880218506,,True,"target(X), type(X, hat), type(Y, dog), expression(sameColorAs, X, Y)",True,127,1.1062109470367432,,True,True,False,False
2375675_13378,The shirt that has the same color as the paper,2375675,13378,shirt,688,['white'],True,"target(X), type(X, shirt), expression(hasAttribute, X, color), expression(hasAttribute, paper, color)",True,136,2.406886100769043,,True,"target(X), type(X, shirt), expression(sameColorAs, X, paper)",True,126,1.6071538925170898,,True,True,False,False
3582_11983,tree in the middle that is green and to the right of window,3582,11983,tree,529,['green'],True,"target(X), type(X, tree), expression(hasPosition, X, middle), expression(hasAttribute, X, green), expression(rightOf, X, window)",True,146,1.3324379920959473,,True,"target(X), type(X, tree), expression(in, X, middle), expression(hasAttribute, X, green), expression(toRightOf, X, window)",True,144,1.1511809825897217,,True,True,False,False
2377518_20865,The black short that is to the left of the ground or to the right of the red jersey,2377518,20865,shorts,408,['black'],True,"target(X), type(X, short), expression(hasAttribute, X, black), expression(leftOf, X, ground), expression(rightOf, X, jersey), expression(hasAttribute, jersey, red)",True,160,3.6476497650146484,,True,"target(X), type(X, shirt), expression(color, X, black), expression(length, X, short), (expression(left, X, ground) OR expression(right, X, jersey))",True,156,2.141679048538208,,True,True,False,False
2386261_13371,The shirt that has the same color as the pitcher,2386261,13371,shirt,688,"['white', 'short sleeved']",True,"target(X), type(X, shirt), expression(hasAttribute, X, color), expression(hasAttribute, pitcher, color)",True,137,1.550105094909668,,True,"target(X), type(X, shirt), expression(sameColorAs, X, pitcher)",True,127,1.252979040145874,,True,True,False,False
2415245_22106,The red chair that is to the left of the decorative rug or sitting on the brown table,2415245,22106,chair,783,['red'],True,"target(X), type(X, chair), expression(hasAttribute, X, red), expression(leftOf, X, rug), expression(hasAttribute, rug, decorative), expression(on, X, table), expression(hasAttribute, table, brown)",True,170,2.3775527477264404,,True,"target(X), type(X, chair), expression(hasAttribute, X, red), expression(leftOf, X, rug), expression(on, X, table), expression(hasAttribute, table, brown)",True,159,1.4504189491271973,,True,True,False,False
713860_12556,the second horse from the left that is black and to the left of orange flag,713860,12556,horse,387,"['large', 'black']",True,"target(X), type(X, horse), expression(hasPosition, X, second), expression(fromDirection, X, left), expression(hasAttribute, X, black), expression(leftOf, X, flag), expression(hasAttribute, flag, orange)",True,168,1.9616951942443848,,True,"target(X), type(X, horse), expression(ordinal, X, second), expression(location, X, left), expression(hasAttribute, X, black), expression(leftOf, X, flag), expression(hasAttribute, flag, orange)",True,166,1.4560878276824951,,True,True,False,False
2383658_11620,the first plant from the left that is green and to the left of green grass,2383658,11620,plant,654,['green'],True,"target(X), type(X, plant), expression(hasPosition, X, first), expression(fromDirection, X, left), expression(hasAttribute, X, green), expression(leftOf, X, grass), expression(hasAttribute, grass, green)",True,168,2.066037893295288,,True,"target(X), type(X, plant), expression(first, X, left), expression(hasAttribute, X, green), expression(leftOf, X, grass)",True,147,1.0694060325622559,,True,True,False,False
2318653_15206,The metal plate that is on the brown table and to the right of the dark liquid,2318653,15206,plate,937,"['gray', 'metal']",True,"target(X), type(X, plate), expression(hasAttribute, X, metal), expression(on, X, table), expression(hasAttribute, table, brown), expression(rightOf, X, liquid), expression(hasAttribute, liquid, dark)",True,168,1.5058050155639648,,True,"target(X), type(X, plate), type(plate, metal), expression(on, X, table), type(table, brown), expression(rightOf, X, liquid), type(liquid, dark)",True,154,1.649327039718628,,True,True,False,True
2407481_17558,The wood door that is near the green jacket and to the left of the white wall,2407481,17558,door,462,['wood'],True,"target(X), type(X, door), expression(hasAttribute, X, wood), expression(near, X, jacket), expression(hasAttribute, jacket, green), expression(leftOf, X, wall), expression(hasAttribute, wall, white)",True,168,1.2439732551574707,,True,"target(X), type(X, door), type(X, wood), expression(near, X, jacket), type(jacket, green), expression(leftOf, X, wall), type(wall, white)",True,153,1.39048171043396,,True,True,False,True
2397600_12633,the first hair from the left that is curly and to the left of head,2397600,12633,hair,797,"['brown', 'curly']",True,"target(X), type(X, hair), expression(hasPosition, X, first), expression(fromDirection, X, left), expression(hasAttribute, X, curly), expression(leftOf, X, head)",True,156,2.120368003845215,,True,"target(X), type(X, hair), type(X, first), expression(from, X, left), expression(hasAttribute, X, curly), expression(leftOf, X, head)",True,149,1.442162036895752,,True,True,False,False
2340121_7569,The silver refrigerator that is to the right of the black oven that is in the kitchen,2340121,7569,refrigerator,476,"['metal', 'silver']",True,"target(X), type(X, refrigerator), expression(hasAttribute, X, silver), expression(rightOf, X, oven), expression(hasAttribute, oven, black), expression(in, oven, kitchen)",True,163,2.5743398666381836,,True,"target(X), type(X, refrigerator), expression(hasAttribute, X, silver), expression(toRightOf, X, Y), type(Y, oven), expression(hasAttribute, Y, black), expression(in, Y, kitchen)",True,165,1.3437371253967285,,True,True,False,False
2347463_23488,The white fur that is to the left of the white leg or to the right of the water,2347463,23488,fur,50,['white'],True,"target(X), type(X, fur), expression(hasAttribute, X, white), expression(leftOf, X, leg), expression(hasAttribute, leg, white), expression(rightOf, X, water)",True,158,2.470641851425171,,True,"target(X), type(X, fur), expression(color, X, white), expression(left, X, leg), expression(right, X, water)",True,145,0.9855759143829346,,True,True,False,False
2397744_19550,The white couch that is near the black fireplace or on the brick wall,2397744,19550,couch,458,['white'],True,"target(X), type(X, couch), expression(hasAttribute, X, white), expression(near, X, fireplace), expression(hasAttribute, fireplace, black), expression(on, X, wall), expression(hasAttribute, wall, brick)",True,167,2.118190050125122,,True,"target(X), type(X, couch), expression(hasAttribute, X, white), (expression(near, X, fireplace) OR expression(on, X, wall)), type(fireplace, fireplace), type(fireplace, black), type(wall, wall), type(wall, brick)",True,169,2.4863879680633545,,True,True,False,True
2403462_7950,The brown hair that is of the woman that is to the right of the glass,2403462,7950,hair,797,"['brown', 'straight', 'shiny', 'long']",True,"target(X), type(X, hair), expression(hasAttribute, X, brown), expression(of, X, person), expression(rightOf, person, glass)",True,147,2.1661229133605957,,True,"target(X), type(X, hair), type(Y, woman), type(Z, glass), expression(of, X, Y), expression(to_the_right_of, Y, Z), expression(hasAttribute, X, brown)",True,154,1.3532488346099854,,True,True,False,False
2401681_6638,The gray luggage that is on the tan floor,2401681,6638,luggage,112,"['gray', 'packed']",True,"target(X), type(X, luggage), expression(hasAttribute, X, gray), expression(on, X, floor), expression(hasAttribute, floor, tan)",True,141,1.824146032333374,,True,"target(X), type(X, luggage), expression(hasAttribute, X, gray), expression(on, X, floor), type(floor, floor), expression(hasAttribute, floor, tan)",True,146,1.3376200199127197,,True,True,False,False
2378040_13718,The tree that has the same color as the branch,2378040,13718,tree,529,"['brown', 'tall']",True,"target(X), type(X, tree), expression(hasAttribute, X, color), expression(hasAttribute, branch, color)",True,136,1.7675089836120605,,True,"target(X), type(X, tree), expression(sameColor, X, branch)",True,125,0.9282262325286865,,True,True,False,False
2348151_17979,The metal fence that is in front of the adult elephant or to the right of the large elephant,2348151,17979,fence,66,['metal'],True,"target(X), type(X, fence), expression(hasAttribute, X, metal), expression(inFrontOf, X, elephant), expression(hasAttribute, elephant, adult), expression(rightOf, X, elephant), expression(hasAttribute, elephant, large)",True,177,5.754199028015137,,True,"target(X), type(X, fence), type(X, metal), expression(in_front_of, X, elephant), expression(to_right_of, X, elephant), type(elephant, adult), type(elephant, large)",True,163,2.023764133453369,,True,True,False,False
2399886_16535,The leather chair that is in front of the dark table and to the right of the yellow wall,2399886,16535,chair,783,"['leather', 'black']",True,"target(X), type(X, chair), expression(hasAttribute, X, leather), expression(inFrontOf, X, table), expression(hasAttribute, table, dark), expression(rightOf, X, wall), expression(hasAttribute, wall, yellow)",True,173,2.614246129989624,,True,"target(X), type(X, chair), type(Y, table), type(Z, wall), expression(material, X, leather), expression(in_front_of, X, Y), expression(to_right_of, X, Z), expression(color, Y, dark), expression(color, Z, yellow)",True,174,1.6490402221679688,,True,True,False,False
2379216_7630,The tall tree that is behind the house,2379216,7630,trees,529,['tall'],True,"target(X), type(X, tree), expression(hasAttribute, X, tall), expression(behind, X, building)",True,132,2.3773727416992188,,True,"target(X), type(X, tree), expression(tall, X, tree), expression(behind, X, house)",True,129,0.9613528251647949,,True,True,False,False
3769_5996,The black coat that is to the left of the beige bag,3769,5996,coat,237,"['black', 'long']",True,"target(X), type(X, coat), expression(hasAttribute, X, black), expression(leftOf, X, bag), expression(hasAttribute, bag, beige)",True,143,1.6536009311676025,,True,"target(X), type(X, coat), type(Y, bag), expression(color, X, black), expression(color, Y, beige), expression(left_of, X, Y)",True,142,1.2939119338989258,,True,True,False,False
2380375_2849,The walking man that is walking in the street,2380375,2849,man,230,['walking'],True,"target(X), type(X, person), expression(hasAttribute, X, walking), expression(in, X, street)",True,133,2.2697601318359375,,True,"target(X), type(X, man), expression(walking, X, street)",True,124,1.0283138751983643,,True,True,False,False
1160249_14384,The white building that is to the left of the tree and to the right of the on wall,1160249,14384,building,948,['white'],True,"target(X), type(X, building), expression(hasAttribute, X, white), expression(leftOf, X, tree), expression(rightOf, X, wall)",True,150,1.5190467834472656,,True,"target(X), type(X, building), expression(color, X, white), expression(left_of, X, tree), expression(right_of, X, wall)",True,149,1.0477728843688965,,True,True,False,False
2410853_22585,The brown luggage that is to the right of the brown suitcase or to the left of the bag,2410853,22585,luggage,112,['brown'],True,"target(X), type(X, luggage), expression(hasAttribute, X, brown), expression(rightOf, X, suitcase), expression(hasAttribute, suitcase, brown), expression(leftOf, X, bag)",True,163,3.1428141593933105,,True,"target(X), type(X, luggage), expression(right, X, suitcase), expression(left, X, bag)",True,142,1.0592739582061768,,True,True,False,False
2404639_9503,plate on the right that is round and on brown table,2404639,9503,plate,937,"['white', 'porcelain', 'round']",True,"target(X), type(X, plate), expression(hasPosition, X, right), expression(hasAttribute, X, round), expression(on, X, table), expression(hasAttribute, table, brown)",True,152,3.164613962173462,,True,"target(X), type(X, plate), type(X, round), expression(on, X, table), expression(on, X, right), type(table, brown)",True,140,1.8599298000335693,,True,True,False,False
2371480_3107,The green broccoli that is on the gray dish,2371480,3107,broccoli,717,"['fresh', 'green']",True,"target(X), type(X, food), expression(hasAttribute, X, green), expression(on, X, plate), expression(hasAttribute, plate, gray)",True,141,1.642829179763794,,True,"target(X), type(X, broccoli), expression(hasAttribute, X, green), expression(on, X, dish), type(dish, dish), expression(hasAttribute, dish, gray)",True,146,1.2407598495483398,,True,True,False,False
2333731_6266,The black cord that is to the left of the brown seat,2333731,6266,cord,821,['black'],True,"target(X), type(X, cord), expression(hasAttribute, X, black), expression(leftOf, X, seat), expression(hasAttribute, seat, brown)",True,145,1.9680531024932861,,True,"target(X), type(X, cord), type(X, black), expression(left_of, X, seat), type(seat, brown)",True,135,1.8609600067138672,,True,True,False,False
2348288_9591,the first dog from the left that is brown and wearing dark collar,2348288,9591,dog,483,"['small', 'brown', 'playing']",True,"target(X), type(X, dog), expression(hasPosition, X, first), expression(fromDirection, X, left), expression(hasAttribute, X, brown), expression(wearing, X, collar), expression(hasAttribute, collar, dark)",True,166,2.855278968811035,,True,"target(X), type(X, dog), expression(position, X, left), expression(hasAttribute, X, brown), expression(wearing, X, collar), expression(hasAttribute, collar, dark)",True,156,1.1837661266326904,,True,True,False,False
2331675_3862,The yellow banana that is to the left of the fruit,2331675,3862,banana,734,"['fresh', 'yellow']",True,"target(X), type(X, banana), expression(hasAttribute, X, yellow), expression(leftOf, X, fruit)",True,135,2.1706812381744385,,True,"target(X), type(X, banana), color(X, yellow), expression(left_of, X, fruit)",True,130,0.9365129470825195,,True,True,False,False
