subject,relation,object
grazing,hypernym,eating
grazing,hypernym,feeding
woman,hypernym,adult
woman,hypernym,female
handbag,synonym,bag
handbag,synonym,purse
handbag,hypernym,container
calculator,synonym,computer
meat,hypernym,food
vase,hypernym,jar
box,hypernym,container
teddy,hypernym,toy
bookshelf,hypernym,shelf
can,synonym,tin
can,hypernym,container
closet,synonym,cupboard
costume,hypernym,dress
squash,hypernym,vine
wristwatch,hypernym,watch
wading,hypernym,walking
garnish,hypernym,decoration
garnish,hypernym,ornament
blurry,synonym,foggy
blurry,synonym,fuzzy
blurry,synonym,hazy
boarding,hypernym,going
boarding,hypernym,leaving
drawing,hypernym,artwork
pie,hypernym,pastry
tag,hypernym,label
bar,hypernym,room
packet,synonym,package
railing,hypernym,barrier
phone,synonym,telephone
pasta,hypernym,dish
by,synonym,past
carved,hypernym,shape
carved,hypernym,cut
man,hypernym,adult
man,hypernym,male
candle,hypernym,lamp
armchair,hypernym,chair
mound,synonym,hill
barren,synonym,waste
barren,hypernym,wild
painted,synonym,paint
magnet,hypernym,device
blank,hypernym,character
written,synonym,pen
basket,hypernym,container
pineapple,hypernym,herb
painting,synonym,picture
foam,hypernym,bubble
waste,hypernym,material
cheese,hypernym,food
cupcake,hypernym,cake
twig,hypernym,branch
mozzarella,hypernym,cheese
dirt,hypernym,ground
swimsuit,hypernym,garment
sculpted,synonym,sculpture
sculpted,hypernym,shape
glove,synonym,mitt
murky,synonym,cloudy
murky,synonym,muddy
bigger,synonym,larger
restaurant,hypernym,building
steak,hypernym,cut
fenced,synonym,fence
kiwi,hypernym,vine
shiny,synonym,glossy
shiny,synonym,shining
scarf,hypernym,garment
hillside,hypernym,side
sea,hypernym,water
hamburger,synonym,burger
hamburger,hypernym,sandwich
eating,synonym,feeding
spoon,hypernym,container
unripe,synonym,green
figurine,hypernym,figure
doorway,synonym,door
doorway,hypernym,entrance
double,hypernym,safety
rolled,synonym,roll
sunflower,hypernym,flower
ramekin,hypernym,dish
shuttle,synonym,bird
shut,synonym,close
headphone,synonym,earphone
headphone,synonym,phone
stair,synonym,step
stair,hypernym,support
computer,hypernym,machine
cathedral,hypernym,church
snack,hypernym,meal
lined,synonym,line
skateboard,hypernym,board
attached,hypernym,tie
alcohol,hypernym,beverage
alcohol,hypernym,drink
blouse,hypernym,top
telephone,synonym,phone
dumpster,hypernym,container
lace,hypernym,cord
paw,hypernym,foot
splashing,hypernym,painting
croissant,hypernym,bun
croissant,hypernym,roll
rug,synonym,carpet
going,synonym,leaving
drape,synonym,curtain
drape,hypernym,blind
drape,hypernym,screen
flame,synonym,fire
flame,hypernym,burning
sausage,hypernym,meat
sealed,synonym,seal
sealed,hypernym,close
sealed,hypernym,shut
plain,synonym,field
plain,hypernym,ground
deck,hypernym,platform
legging,hypernym,garment
hugging,synonym,kissing
hugging,synonym,petting
soda,hypernym,salt
dish,hypernym,container
wicker,hypernym,wood
switch,hypernym,control
switch,hypernym,controller
menu,synonym,card
chocolate,hypernym,beverage
chocolate,hypernym,drink
khaki,hypernym,cloth
khaki,hypernym,material
beneath,synonym,below
water,hypernym,liquid
cup,hypernym,container
performing,synonym,playing
pancake,hypernym,cake
mashed,synonym,squash
marina,hypernym,dock
sitting,synonym,posing
close,hypernym,end
wrapped,hypernym,cover
aluminum,hypernym,metal
closed,synonym,close
closed,synonym,shut
worker,hypernym,person
raincoat,hypernym,coat
feeding,synonym,eating
pouch,hypernym,bag
skater,hypernym,athlete
bakery,hypernym,shop
bakery,hypernym,store
formal,synonym,ball
hat,synonym,lid
hanging,hypernym,decoration
hanging,hypernym,ornament
engineer,hypernym,person
public,hypernym,people
dispenser,hypernym,container
robe,hypernym,garment
cover,synonym,screen
cover,hypernym,covering
tv,synonym,television
tv,synonym,video
topped,synonym,top
rooftop,hypernym,top
rooftop,hypernym,upside
balding,synonym,bald
sparse,synonym,thin
jean,synonym,denim
jean,hypernym,pant
ostrich,hypernym,person
lake,hypernym,water
covered,synonym,cover
forested,synonym,forest
forested,hypernym,plant
cd,hypernym,metal
skateboarding,hypernym,skating
number,synonym,figure
stapler,hypernym,machine
wheelchair,hypernym,chair
wool,hypernym,cloth
wool,hypernym,material
celery,hypernym,herb
ice,hypernym,crystal
airport,hypernym,field
empty,hypernym,container
log,hypernym,wood
coconut,hypernym,food
match,hypernym,light
bamboo,hypernym,wood
taxi,hypernym,car
taxi,hypernym,machine
mane,hypernym,hair
peeled,synonym,skin
peeled,synonym,peel
denim,synonym,jean
denim,hypernym,pant
watching,hypernym,looking
watching,hypernym,lookingAt
hurdle,hypernym,barrier
crosswalk,synonym,crossing
crosswalk,hypernym,path
white,hypernym,person
lettuce,synonym,bread
lettuce,synonym,cabbage
lettuce,synonym,dough
lettuce,synonym,sugar
lettuce,hypernym,money
package,synonym,packet
waffle,hypernym,cake
jeans,synonym,jean
jeans,synonym,denim
jeans,hypernym,pant
appliance,synonym,gadget
appliance,hypernym,device
shaped,synonym,shape
branch,synonym,arm
behind,synonym,can
behind,synonym,seat
behind,synonym,tail
behind,synonym,bottom
suv,hypernym,car
suv,hypernym,machine
mowed,hypernym,cut
caucasian,hypernym,person
adult,hypernym,person
tire,hypernym,ring
doll,hypernym,toy
framed,synonym,frame
blossom,synonym,flower
spinach,hypernym,vegetable
pesto,hypernym,sauce
ridged,hypernym,cover
collared,synonym,collar
down,hypernym,feather
hazy,synonym,foggy
hazy,synonym,misty
cucumber,hypernym,melon
glowing,hypernym,light
knit,hypernym,cloth
knit,hypernym,material
floral,synonym,flowered
vegetable,hypernym,produce
undershirt,synonym,vest
grabbing,synonym,catch
hook,hypernym,catch
sweater,hypernym,garment
waving,synonym,wave
forest,synonym,wood
male,hypernym,animal
crispy,synonym,crisp
wired,synonym,wire
wired,hypernym,outfit
ornamental,hypernym,plant
sock,hypernym,hose
video,synonym,picture
guiding,synonym,head
guiding,hypernym,control
paneled,synonym,panel
paneled,hypernym,ornament
tea,hypernym,beverage
tea,hypernym,drink
car,synonym,machine
gravel,hypernym,rock
gravel,hypernym,stone
keyboard,hypernym,device
calico,hypernym,cloth
calico,hypernym,material
kitchen,hypernym,room
dinner,hypernym,meal
policeman,synonym,officer
asphalt,hypernym,pavement
pajamas,hypernym,pant
surrounded,synonym,ring
surrounded,synonym,skirt
sand,hypernym,dirt
catching,hypernym,playing
stone,synonym,rock
boulder,hypernym,rock
boulder,hypernym,stone
glossy,hypernym,magazine
docked,synonym,dock
guy,synonym,cat
guy,hypernym,man
floating,hypernym,swimming
television,synonym,video
hilltop,hypernym,crown
hilltop,hypernym,top
padded,synonym,pad
steel,hypernym,metal
stroller,hypernym,pedestrian
runway,synonym,track
runway,hypernym,bar
shingled,hypernym,roof
flat,hypernym,plain
flat,hypernym,field
sprinkled,synonym,sprinkle
store,synonym,shop
store,hypernym,outlet
hitting,synonym,hit
hitting,hypernym,touching
bagel,hypernym,bun
bagel,hypernym,roll
basil,hypernym,herb
plaid,hypernym,cloth
plaid,hypernym,material
rib,hypernym,support
ginger,hypernym,herb
styrofoam,hypernym,foam
wrinkled,synonym,purse
roast,hypernym,cut
curtain,synonym,drape
curtain,hypernym,blind
curtain,hypernym,screen
stand,hypernym,support
cigarette,hypernym,smoke
rose,hypernym,bush
brick,hypernym,ceramic
mayonnaise,hypernym,dressing
cable,hypernym,wire
remote,hypernym,device
pizza,hypernym,dish
complete,hypernym,end
beet,hypernym,vegetable
waterfall,hypernym,water
mask,hypernym,covering
heater,hypernym,device
garbage,hypernym,waste
headboard,hypernym,panel
bus,synonym,coach
highway,hypernym,road
minivan,hypernym,car
minivan,hypernym,machine
bottom,hypernym,side
bottom,hypernym,face
smoking,synonym,smoke
next,synonym,following
bushy,synonym,shaggy
blond,hypernym,person
statue,hypernym,sculpture
mailbox,hypernym,box
snowy,synonym,white
ripe,synonym,mature
regular,synonym,fixture
pond,synonym,pool
pond,hypernym,lake
terminal,hypernym,station
airplane,synonym,plane
hardwood,hypernym,wood
illuminated,synonym,light
center,synonym,middle
center,synonym,heart
center,synonym,eye
umbrella,hypernym,canopy
jacket,hypernym,coat
decorating,synonym,ornament
diaper,synonym,napkin
diaper,hypernym,garment
jet,hypernym,airplane
jet,hypernym,plane
parrot,hypernym,bird
cart,hypernym,wagon
restroom,hypernym,toilet
restroom,hypernym,can
restroom,hypernym,bathroom
corded,synonym,cord
corded,hypernym,stack
noodle,hypernym,pasta
powdered,synonym,powder
purse,synonym,bag
purse,synonym,handbag
purse,hypernym,container
wrinkly,synonym,wrinkled
serving,synonym,helping
young,hypernym,animal
silk,hypernym,cloth
silk,hypernym,material
trimmed,hypernym,cut
jagged,hypernym,cut
rounded,synonym,round
suit,hypernym,garment
covering,synonym,cover
ambulance,hypernym,car
ambulance,hypernym,machine
rippling,hypernym,wave
drink,hypernym,helping
drink,hypernym,serving
frosted,synonym,ice
frosted,hypernym,cover
bracelet,synonym,wristband
suspended,hypernym,hang
machine,hypernym,device
dotted,hypernym,cover
wine,hypernym,alcohol
sheer,synonym,cut
rice,hypernym,cereal
baby,hypernym,child
baby,hypernym,kid
skateboarder,hypernym,skater
looking,synonym,lookingAt
surfboard,hypernym,board
iced,synonym,ice
iced,hypernym,cover
blanket,synonym,cover
blanket,hypernym,bedding
air,hypernym,gas
oak,hypernym,wood
broth,hypernym,soup
hang,synonym,bent
hang,hypernym,gift
cloth,synonym,material
officer,hypernym,man
dining,hypernym,eating
dining,hypernym,feeding
mall,hypernym,walkway
crossing,hypernym,traveling
tossing,synonym,flip
tossing,synonym,sky
olive,hypernym,fruit
shorter,synonym,short
snowboard,hypernym,board
front,hypernym,side
front,hypernym,face
burrito,hypernym,dish
beak,hypernym,mouth
stacked,synonym,stack
below,synonym,beneath
lighted,synonym,light
pattern,synonym,shape
windshield,hypernym,screen
walkway,hypernym,path
ocean,hypernym,water
cracker,hypernym,bread
panel,hypernym,sheet
herding,synonym,herd
herding,synonym,crowd
sack,hypernym,bag
cafe,hypernym,restaurant
sneaker,hypernym,shoe
goal,synonym,end
living,synonym,life
edged,synonym,edge
diced,hypernym,cut
feathered,synonym,feather
dugout,hypernym,shelter
toast,hypernym,bread
mud,synonym,clay
mud,hypernym,dirt
notebook,hypernym,book
vast,synonym,huge
stuck,synonym,stick
blueberry,hypernym,bush
factory,hypernym,plant
chopped,hypernym,cut
paper,hypernym,material
giant,hypernym,animal
shaker,hypernym,person
flowered,synonym,blossom
flowered,synonym,flower
parsley,hypernym,herb
chipped,synonym,chip
backpack,hypernym,bag
professional,hypernym,adult
daisy,hypernym,flower
fence,hypernym,barrier
dangling,synonym,hanging
dangling,hypernym,support
trash,hypernym,waste
frisbee,hypernym,toy
end,synonym,terminal
longer,hypernym,person
carpet,synonym,rug
blazer,hypernym,jacket
curious,synonym,funny
chili,hypernym,dish
bike,synonym,motorcycle
plane,synonym,airplane
rock,synonym,stone
gun,hypernym,arm
hydrant,hypernym,faucet
corn,hypernym,cereal
packaged,synonym,box
packaged,synonym,package
connected,synonym,tie
sail,synonym,sheet
caramel,hypernym,candy
still,hypernym,picture
pad,synonym,tablet
pad,hypernym,paper
jeep,hypernym,car
jeep,hypernym,machine
boy,hypernym,male
hedge,hypernym,fence
manicured,hypernym,cut
dried,synonym,dry
tinted,hypernym,color
card,hypernym,paper
tooth,hypernym,bone
island,hypernym,ground
hung,synonym,hang
coleslaw,hypernym,salad
clothe,synonym,dress
clothe,synonym,garment
railroad,hypernym,line
locomotive,synonym,engine
plush,hypernym,cloth
plush,hypernym,material
indoors,synonym,inside
graffiti,hypernym,decoration
graffiti,hypernym,ornament
crisp,synonym,chip
dryer,hypernym,appliance
tiled,synonym,tile
tiled,hypernym,cover
seed,hypernym,fruit
poster,synonym,card
poster,hypernym,sign
potted,synonym,pot
potted,hypernym,plant
shelf,hypernym,support
displayed,synonym,display
pumpkin,hypernym,squash
drawer,hypernym,container
kissing,synonym,hugging
kissing,synonym,petting
mitt,synonym,hand
mitt,synonym,paw
butter,hypernym,food
misty,synonym,foggy
misty,synonym,hazy
electric,hypernym,car
electric,hypernym,machine
surrounding,synonym,ring
surrounding,synonym,skirt
hoof,hypernym,foot
brushing,synonym,brush
bench,hypernym,seat
sliced,hypernym,cut
piled,synonym,stack
gravy,hypernym,sauce
stool,hypernym,seat
ornament,synonym,decoration
cord,hypernym,line
braided,synonym,lace
braided,hypernym,tissue
pocket,hypernym,pouch
toothbrush,hypernym,brush
toothbrush,hypernym,toiletry
printed,hypernym,produce
shaggy,synonym,bushy
cereal,hypernym,grass
coffee,hypernym,beverage
coffee,hypernym,drink
breakfast,hypernym,meal
apartment,synonym,flat
glazed,synonym,glaze
glazed,hypernym,coat
jumpsuit,hypernym,garment
thick,hypernym,inside
produce,hypernym,food
whisk,hypernym,mixer
banana,hypernym,herb
huge,synonym,vast
yogurt,hypernym,food
console,hypernym,table
skillet,hypernym,pan
paddle,hypernym,bat
beaded,synonym,bead
curved,synonym,sheer
curved,synonym,cut
vintage,hypernym,wine
brunette,hypernym,person
decoration,synonym,ornament
cherry,hypernym,wood
decorated,synonym,ornament
carpeted,synonym,carpet
carpeted,hypernym,cover
tin,hypernym,metal
rope,hypernym,line
miniature,hypernym,painting
miniature,hypernym,picture
gown,hypernym,dress
hotel,hypernym,building
bicycle,synonym,bike
bicycle,synonym,wheel
upside,synonym,top
upside,hypernym,side
upside,hypernym,face
parking,hypernym,room
skier,hypernym,athlete
parked,synonym,park
hand,synonym,mitt
hand,synonym,paw
milk,hypernym,beverage
milk,hypernym,drink
desk,hypernym,table
receipt,hypernym,getting
suitcase,synonym,bag
suitcase,hypernym,luggage
outdoors,synonym,open
outdoors,hypernym,exterior
iron,hypernym,metal
strawberry,hypernym,berry
tortilla,hypernym,pancake
right,hypernym,abstract
roasted,synonym,roast
newspaper,synonym,paper
glaze,hypernym,topping
nut,hypernym,seed
cooler,hypernym,refrigerator
clay,hypernym,dirt
aquarium,hypernym,tank
along,synonym,on
artichoke,hypernym,vegetable
bleacher,hypernym,worker
bedroom,hypernym,room
muddy,hypernym,dirty
thumb,hypernym,finger
bag,hypernym,container
broken,hypernym,end
counter,hypernym,table
chained,synonym,chain
frosting,synonym,icing
frosting,synonym,ice
frosting,hypernym,topping
decorative,synonym,ornamental
guacamole,hypernym,dip
kid,synonym,child
kid,synonym,fry
blender,hypernym,mixer
puppy,hypernym,dog
sprinkle,hypernym,shower
posing,synonym,sitting
cake,synonym,bar
cake,hypernym,block
browned,synonym,brown
deep,hypernym,middle
rolling,synonym,roll
chair,hypernym,seat
control,hypernym,power
around,synonym,about
following,hypernym,people
wallpaper,hypernym,paper
steamed,synonym,steam
petting,synonym,hugging
petting,synonym,kissing
larger,synonym,bigger
kiosk,hypernym,closet
plugged,hypernym,close
carriage,synonym,coach
carriage,hypernym,car
bun,synonym,roll
bun,hypernym,bread
crate,hypernym,box
grill,hypernym,restaurant
poodle,hypernym,dog
skyscraper,hypernym,building
track,synonym,path
track,hypernym,line
onion,hypernym,bulb
lawn,hypernym,field
lion,hypernym,cat
wireless,synonym,radio
lot,synonym,mountain
lot,synonym,pot
lot,synonym,stack
gadget,synonym,appliance
gadget,hypernym,device
mos,synonym,minute
mos,synonym,second
crown,hypernym,symbol
shirt,hypernym,garment
envelope,hypernym,container
stack,hypernym,mound
lady,hypernym,woman
tied,synonym,tie
vest,hypernym,garment
spear,hypernym,arm
girl,hypernym,woman
crossed,synonym,track
crossed,synonym,cover
pastry,hypernym,dough
canopy,hypernym,covering
female,hypernym,animal
concrete,hypernym,pavement
comb,hypernym,device
bathtub,synonym,bath
paved,hypernym,coat
classroom,hypernym,room
coming,synonym,approaching
roadside,hypernym,edge
child,synonym,kid
child,synonym,fry
sittingOn,hypernym,on
standingOn,hypernym,on
lyingOn,hypernym,on
layingOn,hypernym,on
restingOn,hypernym,on
placedOn,hypernym,on
mountedOn,hypernym,on
walkingOn,hypernym,on
parkedOn,hypernym,on
growingOn,hypernym,on
paintedOn,hypernym,on
layingOn,synonym,lyingOn
restingOn,synonym,placedOn
sittingOnTopOf,hypernym,sittingOn
standingOnTopOf,hypernym,standingOn
restingOnTopOf,hypernym,restingOn
lookingAt,synonym,watching
watching,synonym,observing
observing,synonym,viewing
staringAt,synonym,gazingAt
seeing,hypernym,lookingAt
seeing,hypernym,watching
holding,synonym,grasping
grabbing,synonym,grasping
carrying,hypernym,holding
hugging,synonym,embracing
squeezing,hypernym,touching
pushing,hypernym,touching
pulling,hypernym,touching
hangingFrom,hypernym,attachedTo
suspendedFrom,synonym,hangingFrom
danglingFrom,synonym,hangingFrom
swingingFrom,hypernym,hangingFrom
inside,synonym,within
containedIn,synonym,inside
enclosedBy,hypernym,inside
surroundedBy,hypernym,enclosedBy
wrappedIn,hypernym,enclosedBy
insideOf,synonym,inside
withinThe,synonym,within
containedWithin,synonym,containedIn
enclosedWithin,synonym,enclosedBy
nextTo,synonym,beside
closeTo,synonym,near
adjacent,synonym,nextTo
neighboring,synonym,nextTo
farFrom,synonym,distantFrom
besideOf,synonym,beside
alongsideOf,synonym,beside
closeBy,synonym,closeTo
nearBy,synonym,near
inProximityTo,hypernym,near
inVicinityOf,hypernym,near
underneath,synonym,under
beneath,synonym,under
withinOf,synonym,within
inFrontOf,hypernym,near
behind,hypernym,near
toLeftOf,hypernym,beside
toRightOf,hypernym,beside
leftOf,synonym,toLeftOf
rightOf,synonym,toRightOf
onLeftOf,synonym,leftOf
onRightOf,synonym,rightOf
atLeftOf,synonym,leftOf
atRightOf,synonym,rightOf
toTheLeftOf,synonym,toLeftOf
toTheRightOf,synonym,toRightOf
onTheLeftOf,synonym,onLeftOf
onTheRightOf,synonym,onRightOf
aboveOf,synonym,above
belowOf,synonym,below
onTopOf,hypernym,above
onBackOf,hypernym,on
beyondOf,hypernym,behind
owns,synonym,possesses
belongsTo,hypernym,with
accompaniedBy,synonym,with
hasOn,synonym,wearing
wears,synonym,wearing
isWearing,synonym,wearing
dressedIn,hypernym,wearing
clothedIn,hypernym,wearing
sporting,synonym,wearing
partOf,synonym,componentOf
elementOf,synonym,componentOf
memberOf,hypernym,partOf
composedOf,synonym,madeOf
constructedFrom,hypernym,madeOf
builtFrom,hypernym,madeOf
formedFrom,hypernym,madeOf
coveredWith,hypernym,has
coatedWith,synonym,coveredWith
filledWith,hypernym,has
paintedWith,hypernym,coveredWith
connectedTo,synonym,linkedTo
joinedTo,synonym,linkedTo
boundTo,hypernym,attachedTo
attachedTo,hypernym,connectedTo
supportedBy,hypernym,on
heldBy,hypernym,supportedBy
balancedOn,hypernym,on
foundationOf,hypernym,supportedBy
driving,hypernym,riding
flying,hypernym,riding
sailing,hypernym,riding
travelingOn,hypernym,movingOn
walkingIn,hypernym,walking
walkingOn,hypernym,walking
reading,hypernym,lookingAt
writing,hypernym,using
cooking,hypernym,using
cleaning,hypernym,using
throwing,hypernym,using
catching,hypernym,using
kicking,hypernym,using
playing,hypernym,using
parkedAt,hypernym,parkedOn
parkedNear,hypernym,near
stationedAt,synonym,parkedAt
dockedAt,hypernym,parkedAt
growingIn,hypernym,in
bloomingOn,hypernym,growingOn
attachedNaturallyTo,hypernym,attachedTo
operatingWith,hypernym,using
controllingWith,hypernym,using
manipulating,hypernym,using
above,hypernym,over
spanning,hypernym,over
bridging,hypernym,over
crossing,hypernym,over
below,hypernym,under
beneath,synonym,under
displays,synonym,shows
indicates,hypernym,shows
reads,hypernym,says
spells,hypernym,says
mirroredIn,synonym,reflectedIn
shadowedBy,hypernym,near
castingShadowOn,hypernym,over
around,hypernym,near
encompassing,hypernym,surrounding
overlapping,hypernym,intersecting
opposite,hypernym,acrossFrom
facing,hypernym,lookingAt
turnedToward,hypernym,facing
hasColor,hypernym,hasAttribute
hasSize,hypernym,hasAttribute
hasShape,hypernym,hasAttribute
hasTexture,hypernym,hasAttribute
hasMaterial,hypernym,hasAttribute
hasProperty,synonym,hasAttribute
isColor,hypernym,hasAttribute
isSize,hypernym,hasAttribute
isShape,hypernym,hasAttribute
isTexture,hypernym,hasAttribute
isMaterial,hypernym,hasAttribute
has,synonym,hasAttribute
hangingFrom,hypernym,from
holding,synonym,gripping
holding,hypernym,touching
madeOf,synonym,formedFrom
partOf,synonym,elementOf
partOf,hypernym,belongsTo
playing,hypernym,interactingWith
riding,synonym,mountedOn
using,synonym,utilizing
using,synonym,employing
using,hypernym,interactingWith
mountedOn,hypernym,placedOn
parkedOn,hypernym,stationedOn
over,synonym,atop
under,synonym,beneath
has,synonym,contains
walkingOn,hypernym,walking
